
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Brent 022D","E01000642",2.7,7.6
"Brent 022E","E01000644",4.0,6.5
"Brent 023A","E01000490",1.9,7.8
"Brent 023B","E01000494",4.0,6.9
"Brent 023C","E01000495",2.2,8.1
"Brent 023D","E01000560",3.1,6.7
"Brent 023E","E01000561",3.8,6.9
"Brent 024A","E01000638",5.0,6.7
"Brent 024B","E01000640",5.9,7.4
"Brent 024C","E01000641",4.4,7.2
"Brent 024D","E01000643",5.4,6.2
"Brent 025A","E01000508",6.0,5.4
"Brent 025B","E01000521",6.7,9.0
"Brent 025C","E01000522",5.1,7.6
"Brent 025D","E01000526",5.5,7.8
"Brent 025E","E01000527",5.2,5.1
"Brent 025F","E01000528",4.6,6.7
"Brent 026A","E01000471",4.3,6.9
"Brent 026B","E01000474",6.6,8.0
"Brent 026C","E01000476",4.2,8.6
"Brent 026D","E01000477",5.1,7.9
"Brent 026E","E01000630",3.9,6.7
"Brent 027A","E01000595",5.3,6.8
"Brent 027D","E01000599",6.2,7.0
"Brent 027F","E01033456",7.8,9.1
"Brent 027G","E01033937",4.5,6.4
"Brent 027H","E01033938",4.9,6.7
"Brent 027I","E01033939",2.7,5.7
"Brent 028A","E01000545",2.6,7.0
"Brent 028B","E01000546",3.0,6.9
"Brent 028C","E01000547",3.4,7.0
"Brent 028D","E01000548",2.8,6.1
"Brent 028E","E01000549",2.0,5.2
"Brent 029A","E01000472",4.5,5.0
"Brent 029B","E01000473",7.6,8.7
"Brent 029C","E01000475",4.1,6.7
"Brent 029D","E01000478",4.7,6.8
"Brent 029E","E01000632",5.8,8.9
"Brent 030A","E01000489",5.3,5.5
"Brent 030B","E01000491",4.8,6.2
"Brent 030C","E01000492",4.1,4.0
"Brent 030D","E01000493",3.9,4.1
"Brent 030E","E01000581",4.8,4.6
"Brent 031A","E01000523",5.7,5.7
"Brent 031B","E01000524",5.7,7.2
"Brent 031C","E01000525",5.0,5.3
"Brent 031E","E01000533",4.8,8.1
"Brent 031F","E01000535",3.9,6.4
"Brent 031G","E01033455",5.1,5.6
"Brent 031H","E01033485",4.9,9.1
"Brent 032A","E01000579",3.5,5.2
"Brent 032B","E01000580",3.4,5.6
"Brent 032C","E01000582",6.4,4.1
"Brent 032D","E01000583",3.5,6.4
"Brent 032E","E01000586",3.0,7.4
"Brent 033A","E01000530",4.4,4.1
"Brent 033B","E01000531",2.9,6.2
"Brent 033C","E01000532",3.8,4.9
"Brent 033D","E01000534",3.8,5.8
"Brent 033E","E01000584",3.3,4.0
"Brent 033F","E01000585",4.1,4.5
"Brent 034A","E01000544",4.9,6.9
"Brent 034B","E01000550",4.5,6.0
"Brent 034C","E01000551",5.3,8.4
"Brent 034D","E01000552",5.4,5.8
"Brent 035A","E01033457",4.5,5.3
"Brent 035B","E01033940",15.3,24.4
"Brent 035C","E01033941",3.1,5.9
"Brent 035D","E01033942",12.4,18.8
"Brent 036A","E01000615",12.2,21.5
"Brent 036B","E01000617",3.7,7.0
"Brent 036D","E01000618",5.5,6.4
"Brent 036C","E01000619",4.4,6.7
"Bromley 001A","E01000779",2.5,4.1
"Bromley 001B","E01000780",5.1,6.1
"Bromley 001C","E01000781",5.3,6.1
"Bromley 001D","E01000782",4.3,4.7
"Bromley 001E","E01000783",6.0,5.0
"Bromley 001F","E01000785",4.7,5.2
"Bromley 002A","E01000689",5.7,4.5
"Bromley 002B","E01000690",3.4,3.6
"Bromley 002C","E01000691",3.7,5.4
"Bromley 002D","E01000692",3.0,4.0
"Bromley 002E","E01000784",4.2,3.2
"Bromley 004A","E01000799",3.7,5.0
"Bromley 004B","E01000802",2.7,4.1
"Bromley 004C","E01000803",3.1,3.8
"Bromley 004D","E01000804",3.8,3.3
"Bromley 004E","E01000805",3.8,4.7
"Bromley 005B","E01000741",3.1,3.1
"Bromley 005C","E01000742",3.8,3.8
"Bromley 005D","E01000745",3.3,3.6
"Bromley 005E","E01000746",3.2,3.3
"Bromley 005F","E01034383",6.0,5.2
"Bromley 005G","E01034384",3.0,3.4
"Bromley 006A","E01000709",1.6,1.9
"Bromley 006B","E01000710",1.8,3.1
"Bromley 006C","E01000711",1.3,2.3
"Bromley 006D","E01000714",2.4,4.5
"Bromley 006E","E01000718",4.8,4.2
"Bromley 007A","E01000645",4.1,4.1
"Bromley 007B","E01000649",4.5,3.9
"Bromley 007C","E01000694",3.8,3.1
"Bromley 007D","E01000695",4.6,3.7
"Bromley 007E","E01000696",3.8,3.5
"Bromley 007F","E01000697",3.4,3.5
"Bromley 008A","E01000674",3.0,6.6
"Bromley 008B","E01000676",2.5,6.7
"Bromley 008C","E01000820",3.7,3.4
"Bromley 008D","E01000822",2.9,3.2
"Bromley 008E","E01000823",3.0,3.7
"Bromley 008F","E01000824",3.6,4.9
"Bromley 008G","E01000825",2.6,3.1
"Bromley 009A","E01000743",4.9,4.8
"Bromley 009B","E01000744",5.4,6.5
"Bromley 009C","E01000796",6.7,6.8
"Bromley 009D","E01000798",5.7,5.6
"Bromley 009E","E01000800",3.4,4.5
"Bromley 009F","E01000806",5.2,5.0
"Bromley 010A","E01000693",3.9,3.6
"Bromley 010B","E01000698",4.3,5.5
"Bromley 010C","E01000736",5.4,6.2
"Bromley 010D","E01000737",3.5,5.2
"Bromley 011A","E01000672",3.0,3.1
"Bromley 011B","E01000673",3.9,3.5
"Bromley 011C","E01000716",2.5,3.6
"Bromley 011D","E01000717",2.4,2.8
"Bromley 011E","E01000828",3.2,4.1
"Bromley 012A","E01000712",2.0,4.6
"Bromley 012B","E01000713",2.9,3.3
"Bromley 012C","E01000715",1.9,2.0
"Bromley 012D","E01000770",3.6,3.6
"Bromley 012E","E01000772",2.1,3.0
"Bromley 013A","E01000700",4.1,3.5
"Bromley 013B","E01000702",2.4,4.0
"Bromley 013C","E01000703",5.0,3.3
"Bromley 013D","E01000706",3.4,3.4
"Bromley 013E","E01000797",2.4,4.2
"Bromley 014A","E01000729",5.7,5.5
"Bromley 014B","E01000730",6.0,6.6
"Bromley 014C","E01000735",6.3,6.1
"Bromley 014D","E01000738",4.0,5.6
"Bromley 014E","E01000739",5.9,7.1
"Bromley 015A","E01000699",3.4,4.6
"Bromley 015B","E01000701",3.8,3.5
"Bromley 015C","E01000704",4.2,5.4
"Bromley 015D","E01000705",3.2,3.4
"Bromley 015E","E01000801",3.8,4.8
"Bromley 016A","E01000646",3.6,3.4
"Bromley 016B","E01000647",4.4,4.0
"Bromley 016C","E01000648",4.4,5.0
"Bromley 016D","E01000653",3.8,4.2
"Bromley 016E","E01000678",3.9,4.9
"Bromley 018A","E01000670",2.9,4.0
"Bromley 018C","E01000677",2.5,3.7
"Bromley 018D","E01000762",3.6,3.4
"Bromley 018E","E01000829",3.4,3.6
"Bromley 018F","E01034385",3.9,3.8
"Bromley 018G","E01034386",1.4,4.8
"Bromley 019A","E01000719",3.5,4.2
"Bromley 019B","E01000720",5.6,4.4
"Bromley 019C","E01000721",4.7,5.2
"Bromley 019D","E01000724",6.1,6.4
"Bromley 019E","E01000728",3.7,4.4
"Bromley 020A","E01000651",3.3,4.0
"Bromley 020B","E01000668",3.2,4.0
"Bromley 020C","E01000669",4.3,3.8
"Bromley 020D","E01000671",3.0,4.4
"Bromley 020E","E01000679",4.5,4.0
"Bromley 021A","E01000826",5.3,5.2
"Bromley 021B","E01000827",3.2,3.1
"Bromley 021C","E01000830",5.2,4.4
"Bromley 021D","E01000831",3.3,3.6
"Bromley 021E","E01000833",6.5,7.0
"Bromley 022A","E01000650",4.6,3.3
"Bromley 022B","E01000652",3.6,3.9
"Bromley 022C","E01000807",3.7,4.6
"Bromley 022D","E01000809",3.5,3.9
"Bromley 023A","E01000722",3.8,6.0
"Bromley 023B","E01000725",5.0,5.5
"Bromley 023C","E01000731",5.4,5.9
"Bromley 023D","E01000732",3.9,4.6
"Bromley 023E","E01000733",4.0,5.4
"Bromley 024A","E01000769",4.2,5.8
"Bromley 024B","E01000773",3.9,5.1
"Bromley 024C","E01000775",4.2,4.2
"Bromley 024D","E01000777",4.3,5.6
"Bromley 024E","E01000778",4.4,5.6
"Bromley 025A","E01000808",3.6,4.0
"Bromley 025B","E01000810",3.2,3.2
"Bromley 025C","E01000811",2.6,2.6
"Bromley 025D","E01000813",3.1,3.3
"Bromley 025E","E01000815",3.7,3.3
"Bromley 026A","E01000661",4.3,4.4
"Bromley 026B","E01000662",4.8,5.5
"Bromley 026C","E01000663",5.3,5.0
"Bromley 026D","E01000664",5.6,5.2
"Bromley 027A","E01000763",5.4,4.9
"Bromley 027B","E01000764",3.9,5.5
"Bromley 027C","E01000766",4.7,4.0
"Bromley 027D","E01000767",5.0,5.0
"Bromley 027E","E01000834",5.1,5.0
"Bromley 028A","E01000727",3.6,4.2
"Bromley 028B","E01000734",4.8,5.3
"Bromley 028C","E01000790",2.6,5.4
"Bromley 028D","E01000812",3.0,5.1
"Bromley 028E","E01000814",3.7,3.0
"Bromley 029A","E01000723",3.7,4.0
"Bromley 029B","E01000726",3.4,4.7
"Bromley 029C","E01000787",3.2,3.0
"Bromley 029D","E01000788",4.5,4.8
"Bromley 029E","E01000791",4.4,4.8
"Bromley 030A","E01000832",4.6,4.3
"Bromley 030B","E01000835",5.5,5.1
"Bromley 030C","E01000836",3.7,5.4
"Bromley 030D","E01000837",5.3,4.0
"Bromley 030E","E01000838",4.4,3.8
"Bromley 030F","E01000839",3.4,5.2
"Bromley 030G","E01000840",2.8,3.9
"Bromley 030H","E01000841",4.4,4.1
"Bromley 031A","E01000753",3.8,4.6
"Bromley 031B","E01000754",4.7,3.9
"Bromley 031C","E01000755",4.9,5.4
"Bromley 031D","E01000757",4.6,5.1
"Bromley 031E","E01000758",4.1,4.5
"Bromley 032A","E01000786",3.3,5.1
"Bromley 032B","E01000789",7.3,5.6
"Bromley 032C","E01000792",4.6,3.6
"Bromley 032D","E01000793",4.2,4.1
"Bromley 032E","E01000795",4.8,4.0
"Bromley 033A","E01000665",5.1,4.6
"Bromley 033B","E01000666",4.4,5.3
"Bromley 033C","E01000667",5.4,4.3
"Bromley 033D","E01000756",4.4,5.4
"Bromley 034A","E01000759",4.9,6.0
"Bromley 034B","E01000760",4.3,6.0
"Bromley 034C","E01000761",4.9,5.4
"Bromley 034D","E01000765",4.0,5.4
"Bromley 034E","E01000768",5.0,4.0
"Bromley 035A","E01000681",5.2,4.1
"Bromley 035B","E01000682",4.4,4.0
"Bromley 035C","E01000683",4.2,4.6
"Bromley 035D","E01000684",4.3,3.9
"Bromley 035E","E01000794",4.1,3.7
"Bromley 036A","E01000749",4.1,4.1
"Bromley 036B","E01000750",5.6,5.3
"Bromley 036C","E01000751",4.1,4.6
"Bromley 036D","E01000752",3.3,3.8
"Bromley 037A","E01000680",4.6,4.9
"Bromley 037B","E01000685",5.1,4.9
"Bromley 037C","E01000686",3.1,3.5
"Bromley 037D","E01000687",4.2,4.0
"Bromley 037E","E01000688",4.3,4.0
"Bromley 039A","E01000654",4.7,4.6
"Bromley 039B","E01000655",5.1,5.1
"Bromley 039C","E01000656",4.7,5.5
"Bromley 039D","E01000657",4.1,4.5
"Bromley 039E","E01000659",5.7,6.2
"Bromley 040A","E01000816",3.6,4.1
"Bromley 040B","E01000818",4.3,5.1
"Bromley 040C","E01000819",4.0,5.4
"Bromley 040D","E01032562",5.1,5.6
"Bromley 040E","E01032563",3.5,4.2
"Bromley 041A","E01000707",3.8,3.1
"Bromley 041B","E01000708",3.8,2.8
"Bromley 041C","E01000771",4.1,3.0
"Bromley 041D","E01000774",4.0,4.3
"Bromley 041E","E01032568",4.1,6.3
"Bromley 042A","E01000658",4.4,4.1
"Bromley 042B","E01000747",5.1,4.6
"Bromley 042C","E01000748",3.4,4.3
"Bromley 042D","E01032570",4.2,4.9
"Camden 001A","E01000907",5.1,5.0
"Camden 001B","E01000908",5.7,5.3
"Camden 001C","E01000909",4.5,4.1
"Camden 001D","E01000912",4.4,7.8
"Camden 001E","E01000913",4.5,4.1
"Camden 002A","E01000893",3.8,4.7
"Camden 002B","E01000894",2.6,3.1
"Camden 002C","E01000895",4.4,5.1
"Camden 002D","E01000896",2.2,4.9
"Camden 002E","E01000899",3.5,2.8
"Camden 003A","E01000910",3.9,5.6
"Camden 003B","E01000911",5.4,6.8
"Camden 003C","E01000921",3.0,7.6
"Camden 003D","E01000923",3.3,6.8
"Camden 003E","E01000928",3.3,7.5
"Camden 004A","E01000878",3.7,3.2
"Camden 004B","E01000879",3.5,4.6
"Camden 004C","E01000880",3.7,4.1
"Camden 004D","E01000884",4.8,4.2
"Camden 004E","E01000885",4.8,4.3
"Camden 005A","E01000871",4.6,6.1
"Camden 005B","E01000872",2.9,7.0
"Camden 005C","E01000873",3.7,7.3
"Camden 005D","E01000874",4.1,4.5
"Camden 005E","E01000877",3.0,6.6
"Camden 006A","E01000886",3.2,4.4
"Camden 006B","E01000887",4.2,6.1
"Camden 006C","E01000888",4.3,3.9
"Camden 006D","E01000892",4.3,7.5
"Camden 006E","E01000903",2.4,7.3
"Camden 007A","E01000889",5.8,7.4
"Camden 007B","E01000890",4.6,5.5
"Camden 007C","E01000891",4.5,9.5
"Camden 007D","E01000901",6.4,7.6
"Camden 007E","E01000922",9.9,11.6
"Camden 007F","E01000927",4.4,8.6
"Camden 008A","E01000881",3.2,6.4
"Camden 008B","E01000882",2.5,4.7
"Camden 008C","E01000883",3.2,9.4
"Camden 008D","E01000897",3.2,3.4
"Camden 008E","E01000898",2.0,4.9
"Camden 009A","E01000866",4.4,8.5
"Camden 009B","E01000870",3.5,7.8
"Camden 009C","E01000924",4.1,7.5
"Camden 009D","E01000925",6.0,11.5
"Camden 009E","E01000926",4.7,12.6
"Camden 010A","E01000969",2.1,8.5
"Camden 010B","E01000970",2.0,4.6
"Camden 010C","E01000971",3.3,4.4
"Camden 010D","E01000972",5.2,8.8
"Camden 010E","E01000973",6.6,10.6
"Camden 011A","E01000842",2.1,3.4
"Camden 011B","E01000844",2.8,4.3
"Camden 011C","E01000848",2.4,4.3
"Camden 011D","E01000849",1.8,5.7
"Camden 012A","E01000900",4.2,9.7
"Camden 012B","E01000902",5.2,9.5
"Camden 012C","E01000904",5.2,10.5
"Camden 012D","E01000905",6.9,10.4
"Camden 012E","E01000906",2.7,5.7
"Camden 013A","E01000875",2.8,7.7
"Camden 013B","E01000876",3.9,8.2
"Camden 013C","E01000931",4.1,6.3
"Camden 013D","E01000932",3.2,8.6
"Camden 013E","E01000974",2.4,8.5
"Camden 014A","E01000843",2.0,5.4
"Camden 014B","E01000845",2.6,4.3
"Camden 014C","E01000846",6.3,7.1
"Camden 014D","E01000847",7.1,8.3
"Camden 015C","E01000867",4.3,15.4
"Camden 015D","E01000868",4.1,9.4
"Camden 015E","E01000869",4.4,14.2
"Camden 015F","E01035707",3.5,11.2
"Camden 016A","E01000962",2.2,6.6
"Camden 016B","E01000964",3.8,7.7
"Camden 016C","E01000965",2.9,6.2
"Camden 016D","E01000966",2.5,4.8
"Camden 016E","E01000968",1.7,6.1
"Camden 017A","E01000960",3.7,7.6
"Camden 017B","E01000961",4.0,8.4
"Camden 017C","E01000963",4.5,6.5
"Camden 017D","E01000967",4.0,4.7
"Camden 018A","E01000857",3.7,6.0
"Camden 018B","E01000858",5.2,12.1
"Camden 018C","E01000859",3.4,4.8
"Camden 018D","E01000860",1.7,3.7
"Camden 018E","E01000862",3.4,5.5
"Camden 019A","E01000856",6.0,12.0
"Camden 019B","E01000861",3.7,14.0
"Camden 019C","E01000957",3.0,9.4
"Camden 019D","E01000958",15.5,19.3
"Camden 019E","E01000959",5.8,18.0
"Camden 020A","E01000929",7.2,7.5
"Camden 020B","E01000930",4.2,6.0
"Camden 020C","E01000933",3.2,8.1
"Camden 020D","E01000934",5.2,7.4
"Camden 020E","E01000935",5.7,6.4
"Camden 021A","E01000863",5.9,15.0
"Camden 021B","E01000946",4.7,10.6
"Camden 021C","E01000947",4.1,22.3
"Camden 021D","E01000948",3.4,10.8
"Camden 022A","E01000952",7.0,17.1
"Camden 022C","E01000954",7.5,10.8
"Camden 022D","E01000955",5.7,12.8
"Camden 022E","E01000956",6.3,15.4
"Camden 022F","E01035708",9.8,20.1
"Camden 022G","E01035709",5.0,11.9
"Camden 023A","E01000944",6.8,15.5
"Camden 023C","E01000949",5.5,7.7
"Camden 023E","E01000951",7.0,11.4
"Camden 023F","E01035710",14.6,17.1
"Camden 026A","E01000850",12.6,18.6
"Camden 026B","E01000851",26.1,17.0
"Camden 026E","E01035711",22.9,21.8
"Camden 027A","E01000915",6.4,12.4
"Camden 027B","E01000916",4.5,14.9
"Camden 027C","E01000917",4.4,7.4
"Camden 027D","E01000920",3.6,11.6
"Camden 028A","E01000855",3.4,17.7
"Camden 028B","E01000914",4.3,19.8
"Camden 028C","E01000918",9.7,19.4
"Camden 028D","E01000919",4.9,17.2
"Camden 029H","E01000853",3.8,12.4
"Camden 029G","E01000937",19.7,25.3
"Camden 029A","E01000938",4.7,16.9
"Camden 029B","E01000939",6.8,19.8
"Camden 029D","E01000941",4.2,9.3
"Camden 029C","E01000942",16.4,16.1
"Camden 029F","E01000943",36.8,22.5
"Camden 029E","E01035712",15.9,17.7
"Croydon 001A","E01001137",2.9,4.4
"Croydon 001B","E01001138",3.5,2.6
"Croydon 001C","E01001156",3.6,5.0
"Croydon 001D","E01001162",5.4,5.0
"Croydon 001E","E01001164",2.8,4.2
"Croydon 002A","E01001084",4.7,5.7
"Croydon 002B","E01001157",5.3,6.8
"Croydon 002C","E01001159",3.8,4.5
"Croydon 002D","E01001160",5.2,5.2
"Croydon 002E","E01001163",3.4,4.0
"Croydon 003A","E01001083",4.5,4.9
"Croydon 003B","E01001086",4.3,4.6
"Croydon 003C","E01001087",4.1,5.2
"Croydon 003D","E01001161",5.9,7.5
"Croydon 004A","E01001085",3.6,5.0
"Croydon 004B","E01001088",5.6,7.3
"Croydon 004C","E01001089",5.7,6.8
"Croydon 004D","E01001090",4.1,5.4
"Croydon 004E","E01001091",4.6,5.6
"Croydon 005A","E01001147",5.2,5.9
"Croydon 005B","E01001148",7.2,6.2
"Croydon 005C","E01001151",6.5,6.6
"Croydon 005D","E01001152",5.1,6.3
"Croydon 005E","E01001158",4.1,4.7
"Croydon 006A","E01001146",5.0,5.0
"Croydon 006B","E01001149",4.9,4.3
"Croydon 006C","E01001150",4.7,5.9
"Croydon 006D","E01001153",5.4,7.6
"Croydon 006E","E01001154",6.0,7.0
"Croydon 007A","E01001136",2.5,5.8
"Croydon 007B","E01001139",4.4,4.8
"Croydon 007C","E01001140",3.2,4.2
"Croydon 007D","E01001142",5.5,4.4
"Croydon 007E","E01001144",4.6,4.3
"Croydon 008A","E01001141",3.5,5.7
"Croydon 008B","E01001143",4.1,5.8
"Croydon 008C","E01001145",4.4,4.6
"Croydon 008D","E01001191",3.4,5.8
"Croydon 008E","E01001192",5.0,5.0
"Croydon 009A","E01000994",5.3,5.7
"Croydon 009B","E01000995",5.1,5.4
"Croydon 009C","E01000996",5.2,6.0
"Croydon 009D","E01000997",7.2,7.2
"Croydon 009E","E01000999",5.1,5.7
"Croydon 009F","E01001002",6.8,6.1
"Croydon 010A","E01000998",3.5,5.6
"Croydon 010B","E01001000",5.7,5.8
"Croydon 010C","E01001003",4.5,5.3
"Croydon 010D","E01001111",5.7,6.0
"Croydon 010E","E01001155",5.0,6.0
"Croydon 011A","E01001174",6.5,6.6
"Croydon 011B","E01001175",4.8,6.8
"Croydon 011C","E01001176",4.7,7.1
"Croydon 011D","E01001182",4.5,7.9
"Croydon 011E","E01001183",4.0,5.5
"Croydon 011F","E01001184",3.7,5.9
"Croydon 013A","E01001001",4.5,6.5
"Croydon 013B","E01001109",4.0,7.2
"Croydon 013C","E01001112",3.7,4.4
"Croydon 013D","E01001113",3.5,6.0
"Croydon 013E","E01001114",6.8,5.0
"Croydon 013F","E01001116",4.4,5.5
"Croydon 014A","E01000992",5.8,8.9
"Croydon 014B","E01001185",2.8,4.6
"Croydon 014C","E01001186",3.9,4.7
"Croydon 014D","E01001188",6.1,5.9
"Croydon 014E","E01001193",8.3,10.7
"Croydon 015A","E01001004",5.6,5.7
"Croydon 015B","E01001115",6.4,6.5
"Croydon 015D","E01001178",5.3,6.3
"Croydon 015E","E01001181",3.7,6.2
"Croydon 015F","E01034139",4.5,5.7
"Croydon 015G","E01034140",3.2,6.0
"Croydon 016A","E01001006",5.8,5.4
"Croydon 016B","E01001007",7.0,7.4
"Croydon 016C","E01001177",5.9,8.1
"Croydon 016D","E01001179",4.8,6.4
"Croydon 016E","E01001180",5.6,7.6
"Croydon 017A","E01000980",5.7,5.8
"Croydon 017B","E01000981",3.9,5.8
"Croydon 017C","E01000982",3.3,4.8
"Croydon 017D","E01000983",4.3,5.5
"Croydon 017E","E01001187",6.7,5.1
"Croydon 018A","E01000989",5.1,5.4
"Croydon 018B","E01000991",3.9,5.2
"Croydon 018C","E01001131",4.2,4.5
"Croydon 018D","E01001132",3.3,4.7
"Croydon 018E","E01001134",4.8,5.1
"Croydon 019A","E01001005",6.0,7.7
"Croydon 019B","E01001008",6.1,5.2
"Croydon 019C","E01001009",4.6,6.1
"Croydon 019D","E01001010",6.0,8.8
"Croydon 019E","E01001011",6.6,8.4
"Croydon 020A","E01001012",4.3,6.4
"Croydon 020B","E01001013",4.5,6.1
"Croydon 020D","E01001110",5.6,5.0
"Croydon 020E","E01001118",4.8,6.3
"Croydon 020F","E01034141",2.2,5.1
"Croydon 020G","E01034142",2.4,5.1
"Croydon 020H","E01034143",1.8,11.4
"Croydon 021A","E01000985",5.0,5.3
"Croydon 021B","E01000986",3.6,5.6
"Croydon 021C","E01000987",3.2,5.1
"Croydon 021D","E01000993",4.7,4.1
"Croydon 022A","E01000975",3.1,4.8
"Croydon 022B","E01000976",4.5,6.2
"Croydon 022C","E01000977",3.2,6.2
"Croydon 022D","E01000978",3.1,4.9
"Croydon 022E","E01000979",2.5,4.8
"Croydon 022F","E01000984",2.9,6.6
"Croydon 023A","E01001044",4.1,4.1
"Croydon 023B","E01001046",2.4,3.4
"Croydon 023C","E01001049",3.6,4.3
"Croydon 023D","E01001050",3.6,4.4
"Croydon 024B","E01001042",4.1,6.2
"Croydon 024C","E01001165",4.2,5.4
"Croydon 024D","E01001166",4.6,4.4
"Croydon 024E","E01001168",3.9,7.1
"Croydon 024F","E01034144",3.3,4.4
"Croydon 024G","E01034145",5.0,6.8
"Croydon 024H","E01034146",3.5,5.0
"Croydon 025A","E01001127",4.9,5.5
"Croydon 025B","E01001128",7.3,7.1
"Croydon 025C","E01001130",8.1,7.1
"Croydon 025D","E01001135",4.3,5.1
"Croydon 026A","E01001062",4.8,4.8
"Croydon 026B","E01001063",3.2,5.0
"Croydon 026C","E01001064",4.1,5.4
"Croydon 026D","E01001129",4.3,5.7
"Croydon 026E","E01001133",3.2,4.9
"Croydon 028A","E01001167",6.1,6.0
"Croydon 028B","E01001169",6.0,5.5
"Croydon 028C","E01001171",5.2,4.8
"Croydon 028D","E01001172",6.6,7.7
"Croydon 028E","E01001173",4.5,5.3
"Croydon 029A","E01001036",3.8,4.0
"Croydon 029B","E01001037",3.2,4.2
"Croydon 029C","E01001038",2.5,4.0
"Croydon 029D","E01001039",2.9,4.1
"Croydon 029E","E01001040",3.7,5.1
"Croydon 030A","E01001051",7.3,6.4
"Croydon 030B","E01001052",9.1,7.9
"Croydon 030C","E01001054",7.7,6.4
"Croydon 030D","E01001056",8.6,6.2
"Croydon 030E","E01001057",7.3,5.8
"Croydon 031A","E01001033",2.8,6.2
"Croydon 031B","E01001034",3.5,5.1
"Croydon 031C","E01001041",4.6,5.9
"Croydon 031D","E01001095",4.9,4.3
"Croydon 031E","E01001100",4.4,4.4
"Croydon 032A","E01001053",7.8,6.9
"Croydon 032B","E01001055",5.5,7.1
"Croydon 032C","E01001077",4.1,5.3
"Croydon 032D","E01001078",5.7,6.4
"Croydon 032E","E01001082",5.4,7.0
"Croydon 033A","E01001120",4.4,5.9
"Croydon 033B","E01001122",8.0,4.7
"Croydon 033C","E01001123",4.8,4.8
"Croydon 033D","E01001124",3.1,4.4
"Croydon 033E","E01001125",4.4,5.4
"Croydon 034A","E01001058",4.0,5.8
"Croydon 034B","E01001059",2.8,4.0
"Croydon 034C","E01001060",4.4,4.7
"Croydon 034D","E01001061",3.8,6.3
"Croydon 034E","E01001065",2.6,4.8
"Croydon 034F","E01001066",6.7,7.5
"Croydon 034G","E01001119",4.3,4.3
"Croydon 034H","E01001126",3.5,3.6
"Croydon 035A","E01001032",3.7,4.2
"Croydon 035B","E01001101",3.9,4.6
"Croydon 035C","E01001102",3.3,3.7
"Croydon 035D","E01001107",2.9,3.2
"Croydon 035E","E01001108",3.1,5.3
"Croydon 036A","E01001076",5.3,6.4
"Croydon 036B","E01001079",5.5,6.9
"Croydon 036C","E01001080",6.0,5.2
"Croydon 036D","E01001081",6.0,6.2
"Croydon 037A","E01001073",4.2,4.8
"Croydon 037B","E01001092",3.7,4.3
"Croydon 037C","E01001093",3.8,5.4
"Croydon 037D","E01001096",3.7,4.6
"Croydon 037E","E01001097",3.2,4.5
"Croydon 037F","E01001098",3.5,4.8
"Croydon 038A","E01001028",4.5,4.7
"Croydon 038B","E01001029",3.8,4.7
"Croydon 038C","E01001030",4.4,6.3
"Croydon 038D","E01001031",5.0,5.5
"Croydon 038E","E01001094",4.0,6.0
"Croydon 039A","E01001103",4.3,4.0
"Croydon 039B","E01001105",5.8,6.0
"Croydon 039C","E01001106",5.4,5.3
"Croydon 039D","E01001121",3.2,3.6
"Croydon 040A","E01001069",3.2,3.4
"Croydon 040B","E01001070",4.9,5.6
"Croydon 040C","E01001075",3.0,3.6
"Croydon 040D","E01001099",4.5,4.5
"Croydon 041A","E01001015",5.1,6.8
"Croydon 041B","E01001016",5.4,4.7
"Croydon 041C","E01001023",3.5,3.8
"Croydon 041D","E01001067",4.5,3.9
"Croydon 041E","E01001074",4.1,5.3
"Croydon 042A","E01001068",3.3,4.9
"Croydon 042B","E01001071",4.4,5.7
"Croydon 042C","E01001072",2.8,3.7
"Croydon 042D","E01001104",4.2,4.9
"Croydon 043A","E01001017",4.2,4.3
"Croydon 043B","E01001024",3.4,5.5
"Croydon 043C","E01001025",3.6,4.8
"Croydon 043D","E01001026",4.1,5.3
"Croydon 043E","E01001027",4.1,3.6
"Croydon 044A","E01001018",3.4,4.1
"Croydon 044B","E01001019",2.9,4.0
"Croydon 044C","E01001020",3.5,3.6
"Croydon 044D","E01001021",5.0,5.1
"Croydon 044E","E01001022",3.8,4.0
"Croydon 045A","E01000990",5.8,7.5
"Croydon 045B","E01001189",5.0,4.9
"Croydon 045C","E01001190",4.4,5.0
"Croydon 045D","E01001194",5.4,4.3
"Croydon 045E","E01032569",5.3,6.3
"Croydon 046A","E01034147",1.2,11.5
"Croydon 046B","E01034148",1.9,10.0
"Croydon 046C","E01034149",1.6,7.2
"Croydon 046D","E01034150",2.5,6.5
"Croydon 046E","E01034151",1.5,5.9
"Croydon 047C","E01001035",2.6,4.4
"Croydon 047A","E01001047",2.9,4.2
"Croydon 047D","E01001170",3.5,3.6
"Croydon 047B","E01034152",3.8,5.0
"Ealing 001A","E01001269",4.3,6.9
"Ealing 001B","E01001271",5.9,5.8
"Ealing 001C","E01001309",5.9,6.0
"Ealing 001D","E01001310",4.4,5.8
"Ealing 001E","E01001311",4.5,6.8
"Ealing 002A","E01001307",4.6,5.3
"Ealing 002B","E01001308",3.9,6.0
"Ealing 002C","E01001312",4.5,6.0
"Ealing 002D","E01001313",5.7,5.3
