
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Brent 011A","E01000497",4.5,7.1
"Brent 011B","E01000499",6.1,8.4
"Brent 011C","E01000501",5.5,9.5
"Brent 011D","E01000502",5.1,5.2
"Brent 011E","E01000503",4.3,6.0
"Brent 012A","E01000570",4.7,7.0
"Brent 012B","E01000571",4.5,7.0
"Brent 012C","E01000576",3.8,7.7
"Brent 012D","E01000578",4.3,4.8
"Brent 013A","E01000564",3.8,6.7
"Brent 013B","E01000565",5.0,6.7
"Brent 013C","E01000607",5.1,9.5
"Brent 013D","E01000608",4.1,5.9
"Brent 013E","E01000613",4.3,6.0
"Brent 014A","E01000506",4.5,7.1
"Brent 014B","E01000509",5.1,7.2
"Brent 014C","E01000510",4.9,7.5
"Brent 014D","E01000511",5.6,8.3
"Brent 014E","E01000627",5.1,9.3
"Brent 014F","E01000628",4.2,6.8
"Brent 015A","E01000553",3.8,7.1
"Brent 015B","E01000554",3.9,5.7
"Brent 015C","E01000555",5.1,7.5
"Brent 015D","E01000556",2.4,7.3
"Brent 015E","E01000557",3.4,8.4
"Brent 015F","E01000558",2.8,6.3
"Brent 016A","E01000567",5.2,5.1
"Brent 016B","E01000606",6.3,8.1
"Brent 016C","E01000609",5.1,6.6
"Brent 016D","E01000611",4.3,6.2
"Brent 018A","E01000504",3.1,8.2
"Brent 018B","E01000505",4.2,7.5
"Brent 018C","E01000507",3.3,7.6
"Brent 018D","E01000512",6.3,7.6
"Brent 018E","E01000559",4.5,5.7
"Brent 019A","E01000610",5.0,6.6
"Brent 019B","E01000612",4.9,5.6
"Brent 019C","E01000631",4.5,6.7
"Brent 019D","E01000633",4.8,6.9
"Brent 019E","E01000634",5.4,8.8
"Brent 020A","E01000616",4.4,7.7
"Brent 020B","E01000620",4.2,6.3
"Brent 020C","E01000621",4.3,6.5
"Brent 020E","E01000636",4.0,7.2
"Brent 020F","E01033935",3.6,7.2
"Brent 020G","E01033936",4.3,9.7
"Brent 021A","E01000596",5.9,6.7
"Brent 021B","E01000601",10.0,8.2
"Brent 021C","E01000602",6.7,8.3
"Brent 021D","E01000603",5.5,6.5
"Brent 021E","E01000604",7.2,9.1
"Brent 021F","E01000605",9.1,8.3
"Brent 022A","E01000488",5.8,8.7
"Brent 022B","E01000637",3.1,6.6
"Brent 022C","E01000639",3.2,7.8
