LSOA Code,LSOA Name,Borough,Total_Crime_Count,Population,Crime_Rate
E01000363,Bexley 020D,E09000004,47,1559,30.147530468248878
E01000364,Bexley 023A,E09000004,55,1698,32.391048292108366
E01000365,Bexley 015C,E09000004,113,1728,65.39351851851852
E01000366,Bexley 015D,E09000004,62,1640,37.80487804878049
E01000367,Bexley 010A,E09000004,114,2266,50.30891438658429
E01000368,Bexley 010B,E09000004,80,1680,47.61904761904761
E01000369,Bexley 014C,E09000004,53,1727,30.689056166763173
E01000370,Bexley 014D,E09000004,47,1558,30.166880616174584
E01000371,Bexley 014E,E09000004,51,1620,31.481481481481477
E01000372,Bexley 010C,E09000004,109,1689,64.53522794552991
E01000373,Bexley 008A,E09000004,82,1325,61.886792452830186
E01000374,Bexley 019A,E09000004,112,1579,70.93096896770108
E01000375,Bexley 019B,E09000004,107,2128,50.28195488721805
E01000376,Bexley 019C,E09000004,57,1614,35.31598513011153
E01000377,Bexley 019D,E09000004,108,1474,73.27001356852104
E01000379,Bexley 019F,E09000004,78,1712,45.5607476635514
E01000380,Bexley 010D,E09000004,100,1736,57.6036866359447
E01000381,Bexley 028A,E09000004,97,1617,59.987631416202845
E01000382,Bexley 027A,E09000004,38,1572,24.173027989821882
E01000383,Bexley 028B,E09000004,86,1593,53.98618957940992
E01000384,Bexley 027B,E09000004,61,1719,35.48574752763235
E01000385,Bexley 028C,E09000004,157,2006,78.26520438683949
E01000386,Bexley 028D,E09000004,179,1537,116.46063760572544
E01000387,Bexley 027C,E09000004,42,1558,26.957637997432606
E01000388,Bexley 016A,E09000004,40,1513,26.437541308658297
E01000389,Bexley 020E,E09000004,81,1700,47.64705882352941
E01000390,Bexley 020F,E09000004,58,1332,43.54354354354354
E01000391,Bexley 021E,E09000004,68,1748,38.901601830663616
E01000392,Bexley 016B,E09000004,182,1957,92.99948901379662
E01000393,Bexley 020G,E09000004,69,1695,40.70796460176991
E01000394,Bexley 015E,E09000004,78,1628,47.91154791154791
E01000395,Bexley 018B,E09000004,44,1529,28.77697841726619
E01000396,Bexley 018C,E09000004,27,1452,18.59504132231405
E01000398,Bexley 029A,E09000004,46,1593,28.876333961079723
E01000399,Bexley 029B,E09000004,62,1571,39.46530872056015
E01000400,Bexley 029C,E09000004,59,1573,37.50794659885569
E01000401,Bexley 013A,E09000004,90,1816,49.559471365638764
E01000402,Bexley 005B,E09000004,115,1605,71.65109034267913
E01000403,Bexley 004A,E09000004,555,2403,230.96129837702873
E01000404,Bexley 004B,E09000004,249,2423,102.76516714816343
E01000405,Bexley 004C,E09000004,108,1576,68.52791878172589
E01000406,Bexley 005C,E09000004,119,2144,55.50373134328358
E01000407,Bexley 005D,E09000004,82,1870,43.850267379679146
E01000408,Bexley 004D,E09000004,176,1774,99.2108229988726
