LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_2023,Shape_Length,Shape_Area
E01004104,Sutton 020A,Sutton,6.040185127777435,5.961311610135864,2.414652447120393,10.046209407483257,2,3366.227854695741826,368202.121659010415897
E01004105,Sutton 022C,Sutton,6.282189795913045,6.701297858999368,1.243724263128544,8.674078603352489,2,4258.698180392891118,384447.166922304488253
E01004106,Sutton 022D,Sutton,2.503041754213395,2.393416197781466,0.000000000000000,7.144468326369344,1b,5088.425185548275294,813869.169278413406573
E01004107,Sutton 020B,Sutton,4.618897333045713,4.109498670014612,2.953501241651669,7.296176192808533,1b,2848.334855732520282,242091.873303943750216
E01004108,Sutton 024C,Sutton,0.729099521106760,0.000000000000000,0.000000000000000,6.031215488434323,1a,12253.117277642310000,4582305.226588568650186
E01004109,Sutton 024D,Sutton,2.309329977051609,2.083394410574010,0.000000000000000,4.420725046398390,1a,4257.452691554827652,665042.177015438093804
E01004110,Sutton 016A,Sutton,7.239593272277824,7.630801876710510,3.587814350174718,10.621592432084014,2,4493.005331145085620,310454.112246752367355
E01004111,Sutton 016B,Sutton,5.108648401983738,5.516504949574763,0.000000000000000,10.106134414899078,2,4221.807099124235720,476719.880533838586416
E01004112,Sutton 016C,Sutton,4.806073844912430,4.390589861953083,1.341333821901677,9.390213544236506,1b,4697.544468805218457,524373.869784682872705
E01004114,Sutton 025D,Sutton,0.385160518324149,0.000000000000000,0.000000000000000,2.923138105229000,1a,6587.334644948691675,1542634.955949092982337
E01004115,Sutton 009A,Sutton,4.297388223001295,4.015193367339402,2.184566443153247,6.812786673548644,1b,3252.661603251422548,259595.397153063822770
E01004116,Sutton 008A,Sutton,3.347091429313572,1.938154892513983,0.000000000000000,7.265712253824860,1b,4050.941317370037723,323870.129515787586570
E01004117,Sutton 006A,Sutton,0.802086501682818,0.703387874528942,0.000000000000000,3.121193853233112,1a,2536.199558645097568,255032.929167381662410
E01004118,Sutton 009B,Sutton,8.579276680841970,8.908398832731976,5.438292591648349,10.824357073381782,2,3649.175565315482345,271532.589474619715475
E01004119,Sutton 009C,Sutton,6.817481798641482,6.748597596339409,3.694562817211554,10.624477145141293,2,3443.833829192878966,255877.818658754491480
E01004120,Sutton 016D,Sutton,5.076857722357278,5.725935342053132,0.000000000000000,7.882878269148991,2,3680.898937097846556,287740.144196396926418
E01004121,Sutton 006B,Sutton,5.945323765160615,5.947800776510986,1.416004583432613,9.593001370850534,2,2849.243406597574449,253206.607472108065849
E01004122,Sutton 008B,Sutton,3.747858862587993,3.557714602669261,0.000000000000000,8.553630116504237,1b,2979.936340190327883,259177.034326896711718
E01004123,Sutton 002A,Sutton,8.900633788791925,8.727719555217142,5.253938689337958,13.130823323852448,2,4040.737638990027335,406995.795104868477210
E01004124,Sutton 002B,Sutton,6.193884325084964,5.738030498058059,0.000000000000000,10.885241218253110,2,1987.522128043516432,183719.090852120716590
E01004125,Sutton 001A,Sutton,7.208201340932805,7.376424077488817,5.883897769687485,7.862969279018349,2,2760.979106557482737,138713.427871211926686
E01004126,Sutton 002C,Sutton,7.352333203405257,7.437892401295302,6.557197484601760,8.038892620241366,2,1725.701674959588217,128592.472180595708778
E01004127,Sutton 005A,Sutton,6.139764007118067,6.503550548412456,4.386652686924586,7.354008667785648,2,2900.092899871734062,206093.924480021873023
E01004128,Sutton 002D,Sutton,6.217836432921877,6.304703565511511,4.536164954384637,7.837285007683454,2,2070.896611603400288,170847.501153968594735
E01004129,Sutton 002E,Sutton,10.197698578158704,10.851193208936420,2.979264655934707,15.225390073343966,3,3356.230130918744180,264695.562122643052135
E01004130,Sutton 003A,Sutton,4.178298532453121,3.775524082506643,0.000000000000000,8.073847919403427,1b,4511.936617097095223,676020.587633749353699
E01004131,Sutton 003B,Sutton,5.112425697450758,5.625609750725070,2.249040735688217,7.316917329520578,2,3399.695303625293036,205151.667226641409798
E01004132,Sutton 009D,Sutton,4.791429785465291,5.352305769934020,2.007532048266441,7.639492134712028,1b,2657.752197237825385,171050.392797898035496
E01004133,Sutton 009E,Sutton,3.102325526586106,2.728974062834571,1.795456221268161,5.325864155464913,1b,2238.516800442327167,191487.029090217140038
